datetime,ema200,ema50,ema200_up,ema200_down,ema50_up,ema50_down,golden_cross,death_cross,close_price_cross_above_ema50,close_price_cross_below_ema200,datetime2,k,d,k_up,k_down,k_overbought,k_oversold,k_cross_d
2020-05-13T00:00,263.4406,284.1239,true,false,true,false,false,false,false,false,2020-05-13T00:00,67.4283,85.8587,false,true,false,false,false
2020-05-12T00:00,262.9963,283.1637,true,false,true,false,false,false,false,false,2020-05-12T00:00,83.8997,87.4097,false,true,true,false,true
2020-05-11T00:00,262.5097,282.0108,true,false,true,false,false,false,false,false,2020-05-11T00:00,100.0,88.1764,false,false,true,false,false
2020-05-08T00:00,261.9821,280.6639,true,false,true,false,false,false,false,false,2020-05-08T00:00,100.0,88.1764,false,false,true,false,false
2020-05-07T00:00,261.4982,279.4612,true,false,true,false,false,false,false,false,2020-05-07T00:00,100.0,88.1764,false,false,true,false,false
2020-05-06T00:00,261.0736,278.4702,true,false,true,false,false,false,false,false,2020-05-06T00:00,100.0,87.869,false,false,true,false,false
2020-05-05T00:00,260.6761,277.5657,true,false,true,false,false,false,false,false,2020-05-05T00:00,100.0,87.869,true,false,true,false,false
2020-05-04T00:00,260.3054,276.7496,true,false,true,false,false,false,false,false,2020-05-04T00:00,93.7132,86.3025,true,false,true,false,true
2020-05-01T00:00,259.9752,276.0798,true,false,true,false,false,false,false,false,2020-05-01T00:00,83.3078,85.4438,false,true,true,false,true
2020-04-30T00:00,259.6828,275.5496,true,false,true,false,false,false,false,false,2020-04-30T00:00,100.0,83.9764,true,false,true,false,false
2020-04-29T00:00,259.3399,274.8047,true,false,true,false,false,false,false,false,2020-04-29T00:00,92.2625,82.9509,true,false,true,false,true
2020-04-28T00:00,259.0546,274.2771,true,false,true,false,false,false,false,false,2020-04-28T00:00,67.2272,82.3428,false,true,false,false,true
2020-04-27T00:00,258.8583,274.1015,true,false,true,false,false,false,false,false,2020-04-27T00:00,82.8478,82.6093,false,false,true,false,true
2020-04-24T00:00,258.614,273.7314,true,false,true,false,false,false,false,false,2020-04-24T00:00,82.3319,82.8214,true,false,true,false,false
2020-04-23T00:00,258.3692,273.3543,true,false,true,false,false,false,false,false,2020-04-23T00:00,61.7222,82.0365,false,true,false,false,false
2020-04-22T00:00,258.2018,273.2859,true,false,true,false,false,false,true,false,2020-04-22T00:00,64.8576,82.3127,true,false,false,false,false
2020-04-21T00:00,258.0219,273.171,true,false,false,true,false,false,false,false,2020-04-21T00:00,61.7702,80.5322,false,true,false,false,false
2020-04-20T00:00,257.9179,273.367,true,false,true,false,false,false,false,false,2020-04-20T00:00,78.2167,79.1344,false,true,true,false,true
2020-04-17T00:00,257.7268,273.2215,true,false,true,false,false,false,false,false,2020-04-17T00:00,90.1848,77.2856,false,true,true,false,false
2020-04-16T00:00,257.4748,272.8306,true,false,true,false,false,false,false,false,2020-04-16T00:00,98.2339,74.7162,true,false,true,false,false
2020-04-15T00:00,257.1812,272.2649,true,false,true,false,false,false,false,false,2020-04-15T00:00,95.0289,71.9868,false,true,true,false,false
2020-04-14T00:00,256.9073,271.7684,true,false,true,false,false,false,false,false,2020-04-14T00:00,100.0,68.7209,false,false,true,false,false
2020-04-13T00:00,256.6044,271.1446,true,false,true,false,false,false,true,false,2020-04-13T00:00,100.0,66.469,false,false,true,false,false
2020-04-09T00:00,256.4371,271.0587,true,false,false,true,false,false,false,false,2020-04-09T00:00,100.0,62.4359,false,false,true,false,false
2020-04-08T00:00,256.321,271.1839,true,false,false,true,false,false,false,false,2020-04-08T00:00,100.0,59.4311,true,false,true,false,false
2020-04-07T00:00,256.223,271.3927,true,false,false,true,false,false,false,false,2020-04-07T00:00,93.5432,56.8845,false,true,true,false,false
2020-04-06T00:00,256.1908,271.8809,true,false,false,true,false,false,false,false,2020-04-06T00:00,100.0,53.3556,true,false,true,false,false
2020-04-03T00:00,256.1277,272.2651,false,true,false,true,false,false,false,false,2020-04-03T00:00,67.1049,50.5787,false,true,false,false,false
2020-04-02T00:00,256.2756,273.5244,false,true,false,true,false,false,false,false,2020-04-02T00:00,75.6803,49.5871,true,false,true,false,false
2020-04-01T00:00,256.3896,274.6916,false,true,false,true,false,false,false,false,2020-04-01T00:00,52.4928,48.7706,false,true,false,false,false
