datetime,ema200,ema50,ema200_up,ema200_down,ema50_up,ema50_down,golden_cross,death_cross,close_price_cross_above_ema50,close_price_cross_below_ema200,datetime2,k,d,k_up,k_down,k_overbought,k_oversold,k_cross_d
2020-05-13T00:00,22.0455,71.2473,false,true,false,true,false,2020-05-13T00:00,155.3097,170.2996,true,false,true,false,false,false,false,false
2020-05-12T00:00,51.5094,74.9594,false,true,false,false,true,2020-05-12T00:00,155.064,169.9139,true,false,true,false,false,false,false,false
2020-05-11T00:00,100.0,77.2685,true,false,true,false,false,2020-05-11T00:00,154.7882,169.3997,true,false,true,false,false,false,false,false
2020-05-08T00:00,98.6468,77.2226,true,false,true,false,false,2020-05-08T00:00,154.4671,168.692,true,false,true,false,false,false,false,false
2020-05-07T00:00,90.2947,77.24,true,false,true,false,false,2020-05-07T00:00,154.1634,168.0394,true,false,true,false,false,false,false,false
2020-05-06T00:00,82.363,77.4679,true,false,true,false,true,2020-05-06T00:00,153.8676,167.4043,true,false,true,false,false,false,false,false
2020-05-05T00:00,69.3402,78.3077,true,false,false,false,false,2020-05-05T00:00,153.5794,166.7865,true,false,true,false,false,false,false,false
2020-05-04T00:00,67.4914,78.9593,true,false,false,false,false,2020-05-04T00:00,153.3062,166.2161,true,false,true,false,false,false,false,false
2020-05-01T00:00,44.2317,79.8937,false,true,false,false,false,2020-05-01T00:00,153.0496,165.7009,true,false,true,false,false,false,false,false
2020-04-30T00:00,79.2464,81.5192,true,false,true,false,false,2020-04-30T00:00,152.8333,165.3389,true,false,true,false,false,false,false,false
2020-04-29T00:00,70.8324,82.1854,true,false,true,false,false,2020-04-29T00:00,152.5682,164.7727,true,false,true,false,false,false,false,false
2020-04-28T00:00,31.7988,83.5743,false,true,false,false,false,2020-04-28T00:00,152.3184,164.2561,true,false,true,false,false,false,false,false
2020-04-27T00:00,62.1751,85.9559,false,true,false,false,false,2020-04-27T00:00,152.1426,164.0294,true,false,true,false,false,false,false,false
2020-04-24T00:00,65.2249,87.7571,true,false,false,false,false,2020-04-24T00:00,151.9224,163.6204,true,false,true,false,false,false,false,false
2020-04-23T00:00,56.1216,88.308,false,true,false,false,false,2020-04-23T00:00,151.695,163.1743,true,false,true,false,false,false,false,false
2020-04-22T00:00,66.5773,89.4681,true,false,false,false,false,2020-04-22T00:00,151.4968,162.8377,true,false,true,false,false,false,false,false
2020-04-21T00:00,59.5784,88.2421,false,true,false,false,false,2020-04-21T00:00,151.2754,162.4017,true,false,true,false,false,false,false,false
2020-04-20T00:00,85.9167,87.1197,false,true,true,false,true,2020-04-20T00:00,151.1091,162.1805,true,false,true,false,false,false,false,false
2020-04-17T00:00,100.0,84.4381,false,false,true,false,false,2020-04-17T00:00,150.8684,161.6548,true,false,true,false,false,false,false,false
2020-04-16T00:00,100.0,80.6887,true,false,true,false,false,2020-04-16T00:00,150.5897,160.9632,true,false,true,false,false,false,false,false
2020-04-15T00:00,92.7988,77.2067,false,true,true,false,false,2020-04-15T00:00,150.3239,160.307,true,false,true,false,false,false,false,false
2020-04-14T00:00,100.0,73.3709,false,false,true,false,false,2020-04-14T00:00,150.1072,159.8346,true,false,true,false,false,false,false,false
2020-04-13T00:00,100.0,70.2971,false,false,true,false,false,2020-04-13T00:00,149.8701,159.2687,true,false,true,false,false,false,false,false
2020-04-09T00:00,99.037,65.6497,false,false,true,false,false,2020-04-09T00:00,149.7129,159.014,true,false,true,false,false,false,false,false
2020-04-08T00:00,99.0117,61.8479,true,false,true,false,false,2020-04-08T00:00,149.5579,158.7639,true,false,true,false,false,false,false,false
2020-04-07T00:00,95.0796,58.2957,false,true,true,false,false,2020-04-07T00:00,149.4014,158.5041,true,false,true,false,false,false,false,false
2020-04-06T00:00,100.0,54.051,true,false,true,false,false,2020-04-06T00:00,149.2598,158.3006,true,false,true,false,false,false,true,false
2020-04-03T00:00,83.0243,50.218,false,true,true,false,false,2020-04-03T00:00,149.0989,158.0161,true,false,false,true,false,false,false,false
2020-04-02T00:00,87.1132,47.5263,true,false,true,false,false,2020-04-02T00:00,149.0513,158.187,true,false,false,true,false,false,false,false
2020-04-01T00:00,78.3669,44.968,false,true,true,false,false,2020-04-01T00:00,148.9889,158.3064,true,false,false,true,false,false,false,false
